"nazwa"	"alg"
"tw"	"M' U' R' U' R U R U R U' r'"
"ca"	"R2 U' S R2 S' R2 U R2"
"ia"	"U M U M' U2 M U M' U'"
"la"	"R' U' S R2 S' R2 U R"
"sa"	"U L E' L' U2 L E L' U"
"na"	"R U' R2 S R2 S' U R'"
"ua"	"U L' E L U2 L' E' L U"
"pa"	"U' R' E2 R U2 R' E2 R U'"
"da"	"U' R E' R' U2 R E R' U'"
"ja"	"U' R E2 R' U2 R E2 R' U'"
"za"	"U' R' E R U2 R' E' R U'"
"ea"	"U2 M' U2 M"
"ka"	"U' M U M U2 M' U M' U"
"fa"	"D U2 M' U2 M D'"
"ra"	"U L E L' U2 L E' L' U"
"ga"	"M U2 M' U2"
"oa"	"U M' U M' U2 M U M U'"
"ha"	"D' U2 M' U2 M D"
"ta"	"U' R' E' R U2 R' E R U'"
"cm"	"R' U' R U M U' R' U r"
"im"	"r U R' U' M U R U' R'"
"lm"	"U' R U M U' R' U M'"
"sm"	"M' U R U' M U R' U'"
"nm"	"U' R' U M U' R U M'"
"um"	"M' U R' U' M U R U'"
"pm"	"U L U' M U L' U' M'"
"dm"	"M' U' L U M U' L' U"
"jm"	"U L' U' M U L U' M'"
"zm"	"M' U' L' U M U' L U"
"em"	"M' U M' U M' U2 M U M U' M"
"km"	"F E R U R' U' R U' R' F'"
"fm"	"U L2 U' M U L2 U' M'"
"rm"	"M' U' L2 U M U' L2 U"
"gm"	"U x' S R U R' S' R U' R' x U'"
"om"	"M U' M U M U2 M' U M' U M'"
"hm"	"U' R2 U M U' R2 U M'"
"tm"	"M' U R2 U' M U R2 U'"
"lc"	"l U M' U' R U M U' R'l'"
"sc"	"U L E' L' U L E L' U2"
"nc"	"R U R U R U' R' U' R' U'"
"uc"	"U L' E L U L' E' L U2"
"pc"	"U' R' E2 R U R' E2 R"
"dc"	"U' R E' R' U R E R'"
"jc"	"U' R E2 R' U R E2 R'"
"zc"	"U' R' E R U R' E' R"
"ec"	"M U2 M U M' U2 M' U'"
"kc"	"r U' R' U M U' R U R'"
"fc"	"U' L' U' L U L U L U' L'"
"rc"	"U L E L' U L E' L' U2"
"gc"	"U2 M' U2 M' U M U2 M U"
"oc"	"U M U M' U M U M'"
"hc"	"U R' U' R U R U R U' R' U2"
"tc"	"U' R' E' R U R' E R"
"li"	"F R U' M2 U R' U' M2 U F'"
"si"	"l U' M2 U R U' M2 U R'l'"
"ni"	"U r' U' M' U2 M U' r U'"
"ui"	"M U' M2 U R' U' M2 U r"
"pi"	"L U' R' U' R U M U' R' U r U L'"
"di"	"l U' M' U2 M U' l'"
"ji"	"M' U R' E R U' R' E' R2r'"
"zi"	"L' M U' M' U2 M U' M' L"
"ei"	"M U M' U2 M' U2 M2 U' M'"
"ki"	"x M' U R' U' M U R U' x'"
"fi"	"l' U R' E R U' R' E' Rl"
"ri"	"R' F R S2 R' F' R S2"
"gi"	"x M2 U R' U' M2 U R U' x'"
"oi"	"M' U' M' U' M U' M' U' M2"
"hi"	"R' F R S' R' F' R S"
"ti"	"F' R E R2 E' R F'"
"nl"	"U R' S R2 S' R' U'"
"ul"	"R U' R' E' R U R' E"
"pl"	"R U' R' E2 R U R' E2"
"dl"	"R U' R E' R' U R E R2"
"jl"	"R U' R E2 R' U R E2 R2"
"zl"	"R U' R' E R U R' E'"
"el"	"U2 M2 U R U' M2 U R' U"
"kl"	"M' U' R U M U' R' U"
"fl"	"R' D M D2 M' D R"
"rl"	"D M' U' R U M U' R' UD'"
"gl"	"M2 U' R U M2 U' R' U"
"ol"	"U2 M U R U' M' U R' U"
"hl"	"U R' U' R' U R U R U R' U2"
"tl"	"D' M' U' R U M U' R' UD"
"ns"	"E R' U' R E' R' U R"
"us"	"Rl U' M2 U R2 U' M2 U x"
"ps"	"L2 E' L' U L E L' U' L'"
"ds"	"Rl U' M' U2 M U' R'l'"
"js"	"E' L' U L E L' U' L"
"zs"	"l' U R' U' R' U' R' U R U Rl"
"es"	"R2 F' R2 E R2 E' F R2"
"ks"	"x r U R' U' M U R U' R' x'"
"fs"	"y' U' M2 U R' U' M2 U R y"
"rs"	"y' U M' U' R' U M U' R y"
"gs"	"M U R U' M2 U R' U' M"
"os"	"x U' M' U' M U' M' U' M x'"
"hs"	"y' U M2 U' R' U M2 U' R y"
"ts"	"y' U' M U R' U' M' U R y"
"pn"	"R U' R' E' R2 E R' U R'"
"dn"	"R' U' R E' R' U R E"
"jn"	"R U' R E R2 E' R U R'"
"zn"	"R' U' R' E R U R' E' R2"
"en"	"U2 M2 U R' U' M2 U R U"
"kn"	"M' U' R' U M U' R U"
"fn"	"R D M D2 M' D R'"
"rn"	"D M' U' R' U M U' R UD'"
"gn"	"M2 U' R' U M2 U' R U"
"on"	"U2 M U R' U' M' U R U"
"hn"	"U R U R U' R' U' R' U' R"
"tn"	"D' M' U' R' U M U' R UD"
"pu"	"E L U L' E' L U' L'"
"du"	"x' U' M' U2 M U' x"
"ju"	"L2 E L U L' E' L U' L"
"zu"	"x R U R' U' R' U' R' U R U x'"
"eu"	"r' u M u2 M u r"
"ku"	"M2 U R' U' M U R U' M"
"fu"	"y' L U' M' U2 M U' L' y"
"ru"	"x' L U' M' U2 M U' L' x"
"gu"	"M U R' U' M2 U R U' M"
"ou"	"x U2 M' U' R2 U M U' R2 U' x'"
"hu"	"u' R E' R2 E R u"
"tu"	"x' U' M2 U R' U' M2 U R x"
"jp"	"x' U' M' U L2 U' M U rL"
"zp"	"L U L' E' L U' L' E"
"ep"	"U2 M2 U' L U M2 U' L' U'"
